"","GREScore","TOEFLScore","UniversityRating","SOP","LOR","CGPA","Research","State","Gender","AdmitProb","predictTrain"
"1",337,118,4,5,5,10,1,"UNC","Male","1","1"
"2",324,107,4,4,5,9,1,"UNC","Male","1","1"
"4",322,110,3,4,3,9,1,"BostonU","Male","1","1"
"7",321,109,3,3,4,8,1,"BostonU","Male","1","1"
"10",323,108,3,4,3,9,0,"BostonU","Male","0","0"
"11",325,106,3,4,4,8,1,"BostonU","Male","0","1"
"12",327,111,3,4,5,9,1,"Utexas","Male","1","1"
"13",328,112,4,4,5,9,1,"UNC","Male","1","1"
"14",307,109,3,4,3,8,1,"BostonU","Female","0","0"
"15",311,104,3,4,2,8,1,"BostonU","Female","0","0"
"16",314,107,3,4,3,9,0,"BostonU","Male","0","0"
"19",318,110,3,4,3,9,0,"BostonU","Male","0","0"
"20",303,102,3,4,3,9,0,"BostonU","Female","0","0"
"21",312,107,3,3,2,8,1,"BostonU","Female","0","0"
"22",325,114,4,3,2,8,0,"UNC","Male","0","0"
"23",328,116,5,5,5,10,1,"Utexas","Male","1","1"
"24",334,119,5,5,5,10,1,"Utexas","Male","1","1"
"25",336,119,5,4,4,10,1,"Utexas","Male","1","1"
"27",322,109,5,5,4,9,0,"Utexas","Male","1","1"
"29",295,93,1,2,2,7,0,"Harvard","Female","0","0"
"30",310,99,2,2,2,7,0,"UChicago","Female","0","0"
"32",327,103,3,4,4,8,1,"BostonU","Male","1","1"
"34",340,114,5,4,4,10,1,"Utexas","Male","1","1"
"35",331,112,5,4,5,10,1,"Utexas","Male","1","1"
"36",320,110,5,5,5,9,1,"Utexas","Male","1","1"
"39",304,105,1,3,2,8,0,"Harvard","Female","0","0"
"40",307,108,2,4,4,8,0,"UChicago","Female","0","0"
"41",308,110,3,4,3,8,1,"BostonU","Female","0","0"
"42",316,105,2,3,3,8,1,"UChicago","Male","0","0"
"43",313,107,2,3,2,9,1,"UChicago","Female","0","0"
"45",326,113,5,5,4,9,1,"Utexas","Male","1","1"
"47",329,114,5,4,5,9,1,"Utexas","Male","1","1"
"48",339,119,5,5,4,10,0,"Utexas","Male","1","1"
"49",321,110,3,4,5,9,1,"BostonU","Male","1","1"
"50",327,111,4,3,4,8,1,"UNC","Male","1","1"
"51",313,98,3,3,5,8,1,"BostonU","Female","1","1"
"52",312,100,2,2,4,8,1,"UChicago","Female","0","0"
"53",334,116,4,4,3,8,1,"UNC","Male","1","1"
"55",322,110,3,3,4,8,0,"BostonU","Male","0","0"
"58",298,99,2,4,2,8,0,"UChicago","Female","0","0"
"59",300,99,1,3,2,7,1,"Harvard","Female","0","0"
"60",311,104,2,2,2,8,0,"UChicago","Female","0","0"
"62",307,101,3,4,3,8,0,"BostonU","Female","0","0"
"63",304,105,2,3,3,8,1,"UChicago","Female","0","0"
"64",315,107,2,4,3,9,1,"UChicago","Male","0","0"
"65",325,111,3,3,4,9,0,"BostonU","Male","0","0"
"66",325,112,4,4,4,9,0,"UNC","Male","0","0"
"67",327,114,3,3,3,9,0,"BostonU","Male","0","0"
